,YEAR,COUNTY,pct_18_29
11,12,Autauga Alabama,0.14791744974851886
23,12,Baldwin Alabama,0.12732379476244657
35,12,Barbour Alabama,0.15332577169245726
47,12,Bibb Alabama,0.15602393498258463
59,12,Blount Alabama,0.13921073565524159
71,12,Bullock Alabama,0.15562815562815563
83,12,Butler Alabama,0.13631221719457012
95,12,Calhoun Alabama,0.16001056291536464
107,12,Chambers Alabama,0.1483430564744091
119,12,Cherokee Alabama,0.12872194228126432
131,12,Chilton Alabama,0.14567389934275682
143,12,Choctaw Alabama,0.13003415680355868
155,12,Clarke Alabama,0.14753196173059013
167,12,Clay Alabama,0.13622969399319984
179,12,Cleburne Alabama,0.13266264252179746
191,12,Coffee Alabama,0.14340300332429023
203,12,Colbert Alabama,0.14523632808964357
215,12,Conecuh Alabama,0.13143283334714512
227,12,Coosa Alabama,0.12182312669980305
239,12,Covington Alabama,0.13136656859834273
251,12,Crenshaw Alabama,0.1384693581179204
263,12,Cullman Alabama,0.14358704994747398
275,12,Dale Alabama,0.16411779061254372
287,12,Dallas Alabama,0.14869878481557156
299,12,DeKalb Alabama,0.14644889740326933
311,12,Elmore Alabama,0.1537883732098659
323,12,Escambia Alabama,0.1496191958070592
335,12,Etowah Alabama,0.14796417256619862
347,12,Fayette Alabama,0.13759047969574284
359,12,Franklin Alabama,0.14428289012180345
371,12,Geneva Alabama,0.12610863690000382
383,12,Greene Alabama,0.13882381950437678
395,12,Hale Alabama,0.1485222851682479
407,12,Henry Alabama,0.12258064516129032
419,12,Houston Alabama,0.14425492529419542
431,12,Jackson Alabama,0.13626854685623524
443,12,Jefferson Alabama,0.16287488251112633
455,12,Lamar Alabama,0.12662078956899675
467,12,Lauderdale Alabama,0.17859569282532972
479,12,Lawrence Alabama,0.13667841088567612
491,12,Lee Alabama,0.25243402900171386
503,12,Limestone Alabama,0.14202092705858566
515,12,Lowndes Alabama,0.14229899239152785
527,12,Macon Alabama,0.237934469780828
539,12,Madison Alabama,0.16798468259012253
551,12,Marengo Alabama,0.14515188464189152
563,12,Marion Alabama,0.13406711770843852
575,12,Marshall Alabama,0.14425362184057702
587,12,Mobile Alabama,0.16158127828464947
599,12,Monroe Alabama,0.14223701345680798
611,12,Montgomery Alabama,0.174143214150102
623,12,Morgan Alabama,0.141102449051212
635,12,Perry Alabama,0.20172587694721505
647,12,Pickens Alabama,0.15303562468640242
659,12,Pike Alabama,0.29516216705924986
671,12,Randolph Alabama,0.14228501012234837
683,12,Russell Alabama,0.16003864667621331
695,12,St. Clair Alabama,0.13599293949414604
707,12,Shelby Alabama,0.1418452747333511
719,12,Sumter Alabama,0.25951557093425603
731,12,Talladega Alabama,0.15406736852634476
743,12,Tallapoosa Alabama,0.13538286223895757
755,12,Tuscaloosa Alabama,0.2394592916338277
767,12,Walker Alabama,0.14211048314730562
779,12,Washington Alabama,0.14296214626975376
791,12,Wilcox Alabama,0.15308975224139593
803,12,Winston Alabama,0.1305175843243472
11,12,Apache Arizona,1.4935802022618831
23,12,Cochise Arizona,1.5063213735487047
35,12,Coconino Arizona,1.4929117064874962
47,12,Gila Arizona,1.4959272834980932
59,12,Graham Arizona,1.535803486366094
71,12,Greenlee Arizona,1.5175826489787323
83,12,La Paz Arizona,1.5126018571157855
107,12,Mohave Arizona,1.505921830889665
119,12,Navajo Arizona,1.5000631062709604
131,12,Pima Arizona,1.49231962065505
143,12,Pinal Arizona,1.5206692466761311
155,12,Santa Cruz Arizona,1.4820637446771905
167,12,Yavapai Arizona,1.488645209039596
179,12,Yuma Arizona,1.5150266386637168
11,12,Arkansas Arkansas,1.48250028594304
23,12,Ashley Arkansas,1.4873581930101236
35,12,Baxter Arkansas,1.485214156252981
47,12,Benton Arkansas,1.4974833507080652
59,12,Boone Arkansas,1.4928136353921777
71,12,Bradley Arkansas,1.4897333457214532
83,12,Calhoun Arkansas,1.505299672383889
95,12,Carroll Arkansas,1.4982734319943622
107,12,Chicot Arkansas,1.5037556829412928
119,12,Clark Arkansas,1.474820788530466
131,12,Clay Arkansas,1.4880764208645454
143,12,Cleburne Arkansas,1.4912315903527429
155,12,Cleveland Arkansas,1.4949723479135244
167,12,Columbia Arkansas,1.4829262053971095
179,12,Conway Arkansas,1.4921807541015062
191,12,Craighead Arkansas,1.485389551535366
203,12,Crawford Arkansas,1.4936054507801508
215,12,Crittenden Arkansas,1.4751120842456469
227,12,Cross Arkansas,1.4858395761008587
239,12,Dallas Arkansas,1.4945070623484091
251,12,Desha Arkansas,1.471701434732858
263,12,Drew Arkansas,1.4870190460508261
275,12,Faulkner Arkansas,1.487964954327934
287,12,Franklin Arkansas,1.498842788597234
299,12,Fulton Arkansas,1.4937084234992386
311,12,Garland Arkansas,1.4807820014891433
323,12,Grant Arkansas,1.4935669312893511
335,12,Greene Arkansas,1.492796469939327
347,12,Hempstead Arkansas,1.4843488760913988
359,12,Hot Spring Arkansas,1.522519321311184
371,12,Howard Arkansas,1.4827298894106953
383,12,Independence Arkansas,1.4885393258426967
395,12,Izard Arkansas,1.5189669087974174
407,12,Jackson Arkansas,1.4962617381422334
419,12,Jefferson Arkansas,1.4939093738776488
431,12,Johnson Arkansas,1.4950334863420875
443,12,Lafayette Arkansas,1.4888285024154588
455,12,Lawrence Arkansas,1.4898207972692916
467,12,Lee Arkansas,1.5626058484814271
479,12,Lincoln Arkansas,1.6138667076167077
491,12,Little River Arkansas,1.4816053511705685
503,12,Logan Arkansas,1.4984626851765583
515,12,Lonoke Arkansas,1.4905264019424627
527,12,Madison Arkansas,1.5007239382239381
539,12,Marion Arkansas,1.4899964058943334
551,12,Miller Arkansas,1.4922671475136973
563,12,Mississippi Arkansas,1.4869498905315983
575,12,Monroe Arkansas,1.468139083718848
587,12,Montgomery Arkansas,1.4959937680836857
599,12,Nevada Arkansas,1.495395055744062
611,12,Newton Arkansas,1.5052237843415452
623,12,Ouachita Arkansas,1.472542981780857
635,12,Perry Arkansas,1.4962219033955046
647,12,Phillips Arkansas,1.4691823191991902
659,12,Pike Arkansas,1.4980406792311998
671,12,Poinsett Arkansas,1.4836365181910915
683,12,Polk Arkansas,1.4882288118613505
695,12,Pope Arkansas,1.4959732800599326
707,12,Prairie Arkansas,1.5022326966013395
719,12,Pulaski Arkansas,1.477100668263968
731,12,Randolph Arkansas,1.4955451609310613
743,12,St. Francis Arkansas,1.5520524925982235
755,12,Saline Arkansas,1.48834911015461
767,12,Scott Arkansas,1.5067600427973933
779,12,Searcy Arkansas,1.5012054307828955
791,12,Sebastian Arkansas,1.4887778012469979
803,12,Sevier Arkansas,1.5006173928382431
815,12,Sharp Arkansas,1.4918587317968124
827,12,Stone Arkansas,1.4961618423156884
839,12,Union Arkansas,1.487074091308619
851,12,Van Buren Arkansas,1.4979752190994258
863,12,Washington Arkansas,1.4999310163177764
875,12,White Arkansas,1.4870671593463105
887,12,Woodruff Arkansas,1.4841772151898733
899,12,Yell Arkansas,1.5008668759664496
11,12,Alameda California,1.492570283887852
23,12,Alpine California,1.5394154118689105
35,12,Amador California,1.5443248138458443
47,12,Butte California,1.4948901845920817
59,12,Calaveras California,1.4977017754057291
71,12,Colusa California,1.5093516498816542
83,12,Contra Costa California,1.4890977749959688
95,12,Del Norte California,1.5460232992952683
107,12,El Dorado California,1.4986336035012937
119,12,Fresno California,1.4990966879224423
131,12,Glenn California,1.5093508963476914
143,12,Humboldt California,1.4960312191091636
155,12,Imperial California,1.5125293160058495
167,12,Inyo California,1.5009146848494928
179,12,Kern California,1.512145051888354
191,12,Kings California,1.551471165162809
203,12,Lake California,1.5000155313266859
215,12,Lassen California,1.6223138062996763
239,12,Madera California,1.482339331456139
251,12,Marin California,1.4891973758432306
263,12,Mariposa California,1.509446026855781
275,12,Mendocino California,1.495925025072335
287,12,Merced California,1.5048437049841543
299,12,Modoc California,1.5031105078611018
311,12,Mono California,1.5301855441705898
323,12,Monterey California,1.5094422212546164
335,12,Napa California,1.4975534324544082
347,12,Nevada California,1.4912335221292166
359,12,Orange California,1.4933806553028441
371,12,Placer California,1.488259704917292
383,12,Plumas California,1.497527516350295
407,12,Sacramento California,1.4889617527180041
419,12,San Benito California,1.5007005477009299
455,12,San Francisco California,1.5095814299602177
467,12,San Joaquin California,1.4988440565349512
479,12,San Luis Obispo California,1.5064338722267945
491,12,San Mateo California,1.495070919534082
503,12,Santa Barbara California,1.49998992158997
515,12,Santa Clara California,1.5067022779756953
