,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SIMILARITY
0,46093,0.123,0.078,0.161,0.214,0.425,0.0
1,20083,0.126,0.075,0.163,0.225,0.412,0.01766352173265567
2,21213,0.13699999999999998,0.066,0.162,0.208,0.426,0.019442222095223557
3,46107,0.131,0.067,0.147,0.225,0.431,0.023194827009486416
4,13269,0.126,0.069,0.182,0.201,0.422,0.026627053911388667
5,48129,0.139,0.065,0.147,0.21,0.439,0.028861739379323636
6,17169,0.132,0.1,0.152,0.198,0.417,0.031080540535840088
7,29133,0.129,0.097,0.141,0.221,0.413,0.03146426544510456
8,13185,0.108,0.101,0.149,0.208,0.435,0.03215587038162705
9,13209,0.114,0.083,0.174,0.228,0.401,0.032357379374726845
10,13279,0.097,0.069,0.179,0.226,0.429,0.03522782990761709
11,48179,0.139,0.069,0.134,0.222,0.436,0.035369478367654784
12,46033,0.132,0.08800000000000001,0.156,0.229,0.396,0.03566510900025398
13,13309,0.135,0.078,0.162,0.23,0.395,0.03606937759374285
14,40037,0.154,0.07400000000000001,0.145,0.212,0.415,0.03656501059756444
15,51197,0.096,0.075,0.172,0.21,0.447,0.03686461718233354
16,17153,0.117,0.064,0.189,0.225,0.405,0.039204591567825284
17,46063,0.105,0.068,0.145,0.235,0.446,0.039522145690739016
18,31011,0.156,0.08,0.151,0.197,0.415,0.039774363602702686
19,54021,0.141,0.076,0.14400000000000002,0.236,0.403,0.039812058474788775
20,46137,0.105,0.053,0.172,0.235,0.434,0.039899874686519995
21,1057,0.138,0.048,0.151,0.233,0.429,0.04002499219237901
23,18165,0.113,0.105,0.134,0.223,0.426,0.04049691346263317
24,40131,0.097,0.105,0.16399999999999998,0.201,0.433,0.040583247775406055
25,45059,0.09,0.102,0.16399999999999998,0.214,0.43,0.041218927691049914
26,13101,0.097,0.073,0.182,0.202,0.446,0.041557189510360325
27,20057,0.14300000000000002,0.084,0.14300000000000002,0.232,0.399,0.04195235392680607
28,46069,0.142,0.053,0.142,0.234,0.43,0.04209513035969837
29,48195,0.136,0.076,0.126,0.234,0.428,0.04250882261366457
30,46055,0.117,0.051,0.151,0.241,0.44,0.04264973622427227
31,20155,0.135,0.077,0.14300000000000002,0.191,0.454,0.0428835632847831
32,13271,0.156,0.075,0.134,0.208,0.4270000000000001,0.04320879540093659
33,38003,0.111,0.079,0.13699999999999998,0.248,0.425,0.04332435804486896
34,17035,0.095,0.075,0.194,0.212,0.424,0.04343961325794693
35,56001,0.136,0.1,0.151,0.181,0.4320000000000001,0.04348562981031779
36,20187,0.127,0.098,0.172,0.21600000000000005,0.388,0.043703546766824336
37,47033,0.14,0.078,0.123,0.226,0.4320000000000001,0.04388621651498339
38,20127,0.11,0.094,0.14800000000000002,0.244,0.404,0.04398863489584555
39,20129,0.12,0.113,0.14400000000000002,0.218,0.405,0.04403407771260797
40,12003,0.087,0.076,0.18,0.215,0.442,0.04417012565071557
41,8009,0.113,0.053,0.194,0.206,0.435,0.04447471191587415
42,21233,0.08800000000000001,0.084,0.16699999999999998,0.21,0.451,0.044598206241955526
43,1085,0.12,0.073,0.145,0.199,0.464,0.0451220566907139
44,18121,0.116,0.111,0.174,0.195,0.405,0.045475268003608266
45,28057,0.116,0.07400000000000001,0.155,0.191,0.464,0.046378874501220906
46,18099,0.12,0.103,0.159,0.229,0.389,0.046465040621955764
47,21025,0.114,0.081,0.126,0.241,0.438,0.04704253394535631
48,17017,0.103,0.08,0.19,0.187,0.441,0.04722287581247039
49,48393,0.16,0.07400000000000001,0.133,0.205,0.4270000000000001,0.04747630988187687
50,28147,0.158,0.086,0.134,0.213,0.409,0.04769696007084728
51,13077,0.105,0.053,0.183,0.204,0.455,0.04932544982055412
52,31183,0.162,0.084,0.155,0.201,0.399,0.04937610758251403
53,17029,0.112,0.055,0.201,0.221,0.411,0.049949974974968704
54,17181,0.1,0.078,0.162,0.195,0.466,0.050714889332423886
