,COUNTY,YEAR,MEDIAN_AGE_TOT,OVER_65
11,Autauga Alabama,12,39.3,0.1429773219495606
23,Baldwin Alabama,12,43.6,0.1898635512511535
35,Barbour Alabama,12,40.9,0.17791460746982096
47,Bibb Alabama,12,40.0,0.14932571224435118
59,Blount Alabama,12,41.0,0.1679867187770207
71,Bullock Alabama,12,39.5,0.15048015048015048
83,Butler Alabama,12,42.1,0.17935006170300288
95,Calhoun Alabama,12,40.2,0.1621583557061749
107,Chambers Alabama,12,43.1,0.17883562879653575
119,Cherokee Alabama,12,47.4,0.2132768361581921
131,Chilton Alabama,12,39.8,0.1527640226883947
143,Choctaw Alabama,12,46.8,0.20811819842719834
155,Clarke Alabama,12,42.9,0.18122936245872492
167,Clay Alabama,12,44.7,0.1870041556479033
179,Cleburne Alabama,12,42.9,0.17894030851777332
191,Coffee Alabama,12,39.4,0.1537961866187765
203,Colbert Alabama,12,42.3,0.17742256657193026
215,Conecuh Alabama,12,45.6,0.2084196569155548
227,Coosa Alabama,12,49.5,0.2151364531557723
239,Covington Alabama,12,43.4,0.1872925045210397
251,Crenshaw Alabama,12,42.0,0.1715800174266628
263,Cullman Alabama,12,40.9,0.1707453920351447
275,Dale Alabama,12,38.1,0.1538477182136175
287,Dallas Alabama,12,40.7,0.169399935476933
299,DeKalb Alabama,12,40.1,0.1588522366562723
311,Elmore Alabama,12,39.2,0.14170843133150265
323,Escambia Alabama,12,40.1,0.1637048562771272
335,Etowah Alabama,12,42.0,0.17418938475378418
347,Fayette Alabama,12,43.9,0.1975217764691449
359,Franklin Alabama,12,39.0,0.15263694917415982
371,Geneva Alabama,12,43.5,0.18377678809333486
383,Greene Alabama,12,44.0,0.20293428677105166
395,Hale Alabama,12,40.8,0.17220667531226538
407,Henry Alabama,12,45.3,0.20918337692531241
419,Houston Alabama,12,40.0,0.16116053720179066
431,Jackson Alabama,12,44.0,0.18585596404912252
443,Jefferson Alabama,12,37.9,0.14260985494394698
455,Lamar Alabama,12,44.6,0.19565374864179644
467,Lauderdale Alabama,12,41.6,0.18198190425864616
